id,time,city,residence_MOM,residence_YOY,residence_FBI,commercial_residence_MOM,commercial_residence_YOY,commercial_residence_FBI,second_hand_MOM,second_hand_YOY,second_hand_FBI
242,2011年04月,青岛,100.5,104.1,103.7,100.5,104.1,103.7,100.1,102.7,103.2
243,2011年04月,锦州,100.8,107.2,105.3,100.8,107.2,105.3,100.0,100.3,100.2
244,2011年04月,安庆,99.9,104.9,104.2,99.9,104.9,104.2,100.3,103.7,103.4
245,2011年04月,南京,99.9,100.2,101.8,99.9,100.2,101.8,100.0,99.5,101.4
246,2011年04月,南充,100.1,99.5,99.4,100.1,99.5,99.4,100.0,101.2,101.5
247,2011年04月,韶关,100.7,105.5,105.0,100.7,105.5,105.0,100.2,101.3,101.2
248,2011年04月,襄樊,100.3,107.8,106.3,100.3,107.8,106.3,100.2,106.1,104.8
249,2011年04月,郑州,100.5,107.7,106.3,100.5,107.7,106.3,99.9,105.3,104.2
250,2011年04月,宜昌,100.6,103.8,103.7,100.6,103.8,103.7,100.0,101.2,101.9
251,2011年04月,海口,100.0,100.7,102.7,100.0,100.7,102.7,99.3,93.1,96.8
252,2011年04月,哈尔滨,100.1,105.6,103.6,100.1,105.6,103.6,100.0,102.1,101.8
253,2011年04月,济南,100.5,105.6,104.0,100.5,105.6,104.0,100.1,103.3,102.6
254,2011年04月,天津,100.2,104.9,104.6,100.2,104.9,104.6,99.8,101.2,102.1
255,2011年04月,合肥,100.4,101.7,102.8,100.4,101.7,102.8,100.0,103.1,102.8
256,2011年04月,成都,99.9,103.5,103.4,99.9,103.5,103.4,100.4,101.6,102.2
257,2011年04月,乌鲁木齐,100.4,109.3,107.8,100.4,109.3,107.8,100.4,110.0,107.9
258,2011年04月,洛阳,100.5,106.5,106.1,100.5,106.5,106.1,100.7,106.9,105.7
259,2011年04月,大连,100.6,105.6,104.9,100.6,105.6,104.9,100.3,104.0,103.6
260,2011年04月,金华,100.2,102.6,103.6,100.2,102.6,103.6,99.7,100.5,100.9
261,2011年04月,昆明,100.1,106.9,105.4,100.1,106.9,105.4,100.3,104.2,103.5
262,2011年04月,西宁,100.3,107.7,105.8,100.3,107.7,105.8,100.0,106.0,104.9
263,2011年04月,重庆,100.3,105.3,104.7,100.3,105.3,104.7,99.8,101.1,100.9
264,2011年04月,唐山,100.1,101.5,101.5,100.2,101.5,101.5,101.0,103.4,103.7
265,2011年04月,秦皇岛,100.6,107.9,106.7,100.7,107.9,106.7,100.0,102.4,102.2
266,2011年04月,深圳,100.7,103.1,104.0,100.7,103.1,104.0,100.5,104.1,105.4
267,2011年04月,泸州,100.2,100.7,100.7,100.2,100.7,100.7,100.6,98.6,99.7
268,2011年04月,蚌埠,100.2,103.6,103.9,100.2,103.6,103.9,100.5,104.7,104.1
269,2011年04月,南宁,100.5,102.0,102.8,100.5,102.0,102.8,100.6,102.7,102.0
270,2011年04月,宁波,100.4,101.9,101.7,100.4,101.9,101.7,99.9,96.3,98.5
271,2011年04月,兰州,100.0,107.5,106.7,100.0,107.5,106.7,99.1,105.0,101.5
272,2011年04月,银川,100.4,102.3,102.4,100.5,102.3,102.4,100.8,101.4,102.0
273,2011年04月,三亚,99.9,99.1,101.5,99.9,99.1,101.5,99.5,97.0,101.3
274,2011年04月,遵义,99.9,104.7,104.5,99.8,104.7,104.5,100.2,110.5,108.0
275,2011年04月,扬州,100.1,105.5,104.6,100.1,105.5,104.6,100.1,104.0,103.2
276,2011年04月,贵阳,100.5,105.4,104.3,100.5,105.4,104.3,100.3,106.9,105.2
277,2011年04月,牡丹江,99.4,108.7,106.4,99.4,108.7,106.4,100.1,107.2,106.7
