id,name,level,hot,num,price,area,province,city,longitude,latitude
3028,大七孔景区,,0.7,140,30.0,贵州·黔南·荔波樟江,贵州,黔南,109.430283,24.429552
3029,龙里大草原,,0.78,4,45.8,贵州·黔南·龙里县,贵州,黔南,106.924549,26.358223
3030,韭菜坪,,0.0,59,45.0,贵州·毕节·赫章县,贵州,毕节,104.760101,26.994640
3031,邛海泸山风景区,4A景区,0.0,18,57.0,四川·凉山州·西昌市,四川,凉山州,102.318130,27.816607
3032,南充极地海洋世界,,0.0,2,60.0,四川·南充,四川,南充,106.110698,30.837793
3033,茂兰自然保护区,,0.7,14,48.0,贵州·黔南·荔波樟江,贵州,黔南,108.076363,25.389080
3034,南江水上欢乐园,,0.0,83,38.0,贵州·贵阳·开阳县,贵州,贵阳,106.874103,32.429949
3035,中国天眼驿站,,0.0,6,118.0,贵州·黔南,贵州,黔南,106.707410,26.598194
3036,泸州欢乐海底世界,,0.0,10,78.0,四川·泸州·江阳区,四川,泸州,105.408801,28.894485
3037,白马王朗风景区,,0.78,16,120.0,四川·绵阳·平武县,四川,绵阳,112.100258,32.333080
3038,成都周游卡（青城山—都江堰+熊猫基地）,,0.0,4,75.0,四川·成都·都江堰市,四川,成都,103.577985,30.861443
3039,成都国际非物质文化遗产博览园,,0.0,6,34.9,四川·成都·青羊区,四川,成都,103.930151,30.668245
3040,德阳萌族部落假日森林公园,,0.0,422,45.0,四川·德阳,四川,德阳,104.397894,31.126855
3041,黔北四季花香,,0.0,31,15.0,贵州·遵义,贵州,遵义,106.927389,27.725654
3042,舞阳河,,0.0,6,98.0,贵州·黔东南·镇远,贵州,黔东南,106.707410,26.598194
3043,神龙洞,,0.7,76,75.0,贵州·安顺·黄果树风景名胜区,贵州,安顺,105.947593,26.253072
3044,郎德苗寨,,0.72,8,65.0,贵州·黔东南·凯里市,贵州,黔东南,103.094002,27.544956
3045,大明屯堡,,0.0,8,178.0,贵州·安顺,贵州,安顺,109.744057,34.385696
3046,白马峪温泉,,0.0,20,75.0,贵州·贵阳·开阳县,贵州,贵阳,106.630153,26.647661
3047,中国天眼景区,,0.0,364,108.0,贵州·黔南·平塘县,贵州,黔南,106.707410,26.598194
3048,广元千佛崖,,0.0,26,43.0,四川·广元·利州区,四川,广元,105.846600,32.470770
3049,温江大庙会,,0.0,314,28.0,四川·成都·温江区,四川,成都,103.808540,30.739610
3050,寻龙山龙隐镇,,0.0,81,60.0,四川·绵阳·寻龙山,四川,绵阳,104.679114,31.467450
3051,贵御温泉旅游区,4A景区,0.0,18,74.9,贵州·贵阳·乌当区,贵州,贵阳,106.630153,26.647661
3052,浮生御度假村,,0.0,10,99.0,四川·绵阳·安县,四川,绵阳,104.346764,31.581953
3053,川西红枫岭,,0.0,138,27.0,四川·德阳,四川,德阳,109.276825,34.728279
3054,四季冰雪王国（国色天乡五期）,,0.0,10,78.0,四川·成都·国色天乡,四川,成都,103.831406,30.729925
3055,青城山睿宏养生温泉酒店,,0.0,26,57.0,四川·成都·都江堰市,四川,成都,103.816719,29.874765
3056,泸定桥,,0.78,46,5.0,四川·甘孜州·泸定县,四川,甘孜州,101.962310,30.049520
3057,石阡古温泉水上乐园,4A景区,0.0,8,129.0,贵州·铜仁·石阡县,贵州,铜仁,108.226324,27.510679
3058,翠云廊,4A景区,0.78,18,40.0,四川·广元·剑阁县,四川,广元,105.548683,32.152325
3059,南湖梦幻岛,,0.0,118,45.0,四川·成都·双流县,四川,成都,104.066541,30.572269
3060,贡嘎神汤温泉,,0.0,50,166.01,四川·甘孜州·海螺沟,四川,甘孜州,101.962310,30.049520
3061,天意谷,,0.0,120,55.0,四川·广安·邻水县,四川,广安,106.633212,30.455961
3062,南桥,,0.0,196,228.0,四川·成都·灌县古城,四川,成都,118.500587,27.100245
3063,罗浮山羌王城,,0.7,32,33.9,四川·绵阳·安县,四川,绵阳,104.679114,31.467450
3064,绵州温泉酒店,,0.0,10,118.0,四川·绵阳·涪城区,四川,绵阳,104.059952,30.671505
3065,西岭雪山,4A景区,0.74,40,40.0,四川·成都·大邑县,四川,成都,124.465157,41.559582
3066,成都天台山,4A景区,0.72,18,29.0,四川·成都·邛崃市,四川,成都,103.122657,30.280219
3067,泸州老窖旅游区,4A景区,0.0,166,34.7,四川·泸州·江阳区,四川,泸州,105.453416,28.884376
3068,大邑道源圣城温泉,,0.0,10,40.0,四川·成都·大邑县,四川,成都,104.066541,30.572269
3069,圣灵山地质公园,,0.0,44,28.0,四川·内江·资中县,四川,内江,109.301790,22.416482
3070,汤乐源温泉体验馆,,0.0,56,99.0,四川·成都·武侯区,四川,成都,104.066541,30.572269
3071,成都卡拉卡拉漫温泉,,0.0,38,89.0,四川·成都·金牛区,四川,成都,104.089297,30.692628
3072,海滨城浩海立方海洋馆,,0.0,190,126.0,四川·成都·双流县,四川,成都,104.066541,30.572269
3073,国色天乡·童话世界,,0.0,126,29.9,四川·成都·国色天乡,四川,成都,103.831406,30.729925
3074,宝山旅游度假区,,0.0,8,35.0,四川·成都·彭州市,四川,成都,121.487468,31.398589
3075,绵阳罗浮山会议中心（罗浮山温泉宾馆）,,0.0,12,90.0,四川·绵阳·安县,四川,绵阳,104.348562,31.583813
3076,都江堰熊猫乐园,,0.0,114,52.0,四川·成都·都江堰市,四川,成都,103.574943,30.862336
3077,广德灵泉,,0.7,28,31.0,四川·遂宁·船山区,四川,遂宁,119.422889,30.876054
3078,锦里,,0.82,202,36.0,四川·成都·武侯区,四川,成都,121.597832,38.910858
3079,四川广播电视塔,,0.0,100,41.0,四川·成都,四川,成都,104.094518,30.662326
3080,达州市体育中心,,0.0,338,78.0,四川·达州·通川,四川,达州,107.473642,31.216918
3081,宽窄巷子,,0.94,22,0.1,四川·成都·青羊区,四川,成都,104.052002,30.664200
3082,《阆苑仙境》,,0.0,8,158.0,四川·南充·阆中市,四川,南充,119.676529,29.856148
3083,木雅圣地,,0.0,18,29.9,四川·甘孜州·康定市,四川,甘孜州,101.962310,30.049520
3084,洛带古镇,4A景区,0.74,24,55.0,四川·成都·龙泉驿,四川,成都,104.320831,30.641535
3085,佛爷洞,4A景区,0.0,8,54.9,四川·绵阳·江油市,四川,绵阳,119.248993,40.726223
3086,琴台路,,0.0,150,60.0,四川·成都·青羊区,四川,成都,104.766197,29.357664
3087,卧龙中华大熊猫苑神树坪基地,,0.0,72,76.9,四川·阿坝藏族羌族自治州·四川卧龙自然保护区,四川,阿坝藏族羌族自治州,112.528375,32.980750
3088,桃坪羌寨,,0.7,196,49.9,四川·阿坝藏族羌族自治州·理县,四川,阿坝藏族羌族自治州,103.462860,31.556286
3089,神木垒,,0.0,50,50.0,四川·雅安·宝兴县,四川,雅安,110.499250,38.836500
3090,青城道温泉,,0.0,154,168.0,四川·成都·都江堰市,四川,成都,104.066541,30.572269
3091,螺髻九十九里风景区,4A景区,0.0,120,140.0,四川·凉山州·西昌市,四川,凉山州,118.022537,28.211159
3092,刘氏庄园,4A景区,0.7,58,32.0,四川·成都·安仁古镇,四川,成都,114.190559,34.062794
3093,柏林童话亲子乐园,,0.0,38,29.9,四川·成都,四川,成都,110.662888,32.615097
3094,紫颐香薰山谷,,0.0,110,38.0,四川·成都·双流县,四川,成都,104.066541,30.572269
3095,九皇山,4A景区,0.76,58,84.9,四川·绵阳·北川新县城,四川,绵阳,120.563858,27.656155
3096,卓克基土司官寨,,0.7,44,28.0,四川·阿坝藏族羌族自治州·马尔康县,四川,阿坝藏族羌族自治州,102.224653,31.899413
3097,原香国际香草园,,0.0,28,19.9,四川·绵阳,四川,绵阳,104.711548,31.334358
3098,漫天岭国际滑草场,,0.0,10,46.0,四川·广元·利州区,四川,广元,105.843357,32.435435
3099,嘉丰乐奥海洋公园,,0.0,10,16.0,四川·自贡·大安区,四川,自贡,108.321846,22.856205
3100,重归亚特兰蒂斯乐园,,0.0,100,29.7,四川·成都·新津县,四川,成都,104.066541,30.572269
3101,昭化古城,4A景区,0.8800000000000001,36,42.2,四川·广元·元坝区,四川,广元,105.716506,32.331937
3102,乐山夜游三江,,0.0,30,60.0,四川·乐山·市中区,四川,乐山,103.765568,29.552106
3103,成都星期8小镇,,0.0,12,45.0,四川·成都·温江区,四川,成都,103.825135,30.724357
3104,盐业历史博物馆,3A景区,0.8400000000000001,26,18.0,四川·自贡·自流井区,四川,自贡,104.770943,29.348946
3105,海螺沟,5A景区,0.9,286,160.0,四川·甘孜州·泸定县,四川,甘孜州,106.619003,32.361526
3106,花水湾温泉旅游度假区,4A景区,0.7,32,39.9,四川·成都·大邑县,四川,成都,104.066541,30.572269
3107,李庄古镇,4A景区,0.72,8,15.0,四川·宜宾·翠屏区,四川,宜宾,119.849205,33.979965
3108,光雾山,4A景区,1.0,56,75.0,四川·巴中·南江县,四川,巴中,106.806816,32.666180
3109,南宝山景区,4A景区,0.0,34,60.0,四川·成都·邛崃市,四川,成都,104.066541,30.572269
3110,红格温泉宾馆,,0.0,4,78.0,四川·攀枝花·攀枝花市东区,四川,攀枝花,101.951408,26.529982
3111,安仁古镇,,0.0,376,32.0,四川·成都·大邑县,四川,成都,104.066541,30.572269
3112,九龙滑草场,4A景区,0.0,44,18.0,四川·德阳·九龙山乡村旅游景区,四川,德阳,104.397894,31.126855
3113,碧峰峡,4A景区,0.9,138,90.0,四川·雅安·雨城区,四川,雅安,103.016975,30.105694
3114,金沙遗址,4A景区,0.7,456,35.0,四川·成都·青羊区,四川,成都,104.066541,30.572269
3115,成都熊猫基地,4A景区,0.8,19399,27.0,四川·成都·成华区,四川,成都,104.145832,30.732745
3116,泸沽湖景区,4A景区,0.0,44,29.9,四川·凉山州·盐源县,四川,凉山州,100.809540,27.653347
3117,剑门关天赐温泉,,0.0,122,30.0,四川·广元·剑阁县,四川,广元,105.843357,32.435435
3118,成都杜甫草堂,4A景区,0.86,120,47.0,四川·成都·青羊区,四川,成都,104.028553,30.660076
3119,中国古羌城,4A景区,0.0,24,5.0,四川·阿坝藏族羌族自治州·茂县,四川,阿坝藏族羌族自治州,102.224653,31.899413
3120,国色天乡·幸福摩天轮,,0.0,242,28.0,四川·成都·国色天乡,四川,成都,103.831406,30.729925
3121,漫花庄园,,0.0,500,19.9,四川·成都·新都区,四川,成都,104.066541,30.572269
3122,都江堰,5A景区,1.0,2642,13.0,四川·成都·都江堰市,四川,成都,103.622689,30.998301
3123,泸州云溪温泉,,0.0,20,119.2,四川·泸州·纳溪区,四川,泸州,105.475120,28.672345
3124,蜗牛部落假日公园,,0.0,24,45.0,四川·绵阳·江油市,四川,绵阳,104.679114,31.467450
3125,花舞人间,4A景区,0.0,114,45.0,四川·成都·新津县,四川,成都,104.066541,30.572269
3126,石象湖,4A景区,0.7,74,40.0,四川·成都·蒲江县,四川,成都,103.425148,30.185038
3127,碧峰峡动物园区,,0.0,168,90.0,四川·雅安·碧峰峡,四川,雅安,116.932632,31.061312
3128,成都浣花溪公园,,0.0,784,47.0,四川·成都·青羊区,四川,成都,104.029186,30.657435
3129,青城山,5A景区,0.96,1874,78.0,四川·成都·都江堰市,四川,成都,103.594948,30.899487
3130,天府花溪谷,,0.0,20,55.0,四川·成都·大邑县,四川,成都,106.686313,26.568648
3131,农夫山泉峨眉山工业旅游示范基地,,0.0,26,9.9,四川·乐山·峨眉山市,四川,乐山,103.382629,29.491777
3132,蜀南竹海,4A景区,1.0,92,50.0,四川·宜宾·长宁县,四川,宜宾,104.643215,28.751768
3133,四姑娘山,4A景区,0.74,84,60.0,四川·阿坝藏族羌族自治州·小金县,四川,阿坝藏族羌族自治州,102.901970,31.110451
3134,建川博物馆聚落,4A景区,0.7,44,55.0,四川·成都·大邑县,四川,成都,106.407265,29.480719
3135,阆中古城,5A景区,1.0,202,10.0,四川·南充·阆中市,四川,南充,105.971200,31.574620
3136,成都动物园,,0.7,2151,10.0,四川·成都·成华区,四川,成都,104.105709,30.710156
3137,邛海国家湿地公园,,0.0,46,25.0,四川·凉山州·西昌市,四川,凉山州,102.318130,27.816607
3138,自贡恐龙博物馆,4A景区,1.0,122,18.0,四川·自贡·大安区,四川,自贡,104.829620,29.395569
3139,南波湾海洋生态乐园,4A景区,0.0,0,0.0,海南·陵水,海南,陵水,114.348106,30.461399
3140,陆客帆船俱乐部,,0.0,64,158.0,海南·三亚·大东海,海南,三亚,109.511909,18.252847
3141,荣县大佛,4A景区,0.8,8,49.9,四川·自贡·荣县,四川,自贡,104.430668,29.454228
3142,绵阳科技馆,,0.0,244,26.3,四川·绵阳·游仙区,四川,绵阳,104.772530,31.479638
3143,达古冰山,4A景区,0.7,66,55.5,四川·阿坝藏族羌族自治州·黑水县,四川,阿坝藏族羌族自治州,92.408875,29.258640
3144,亚泰温泉,,0.0,53,50.0,海南·海口·秀英区,海南,海口,110.198293,20.044001
3145,毕棚沟,4A景区,0.7,1696,100.0,四川·阿坝藏族羌族自治州·理县,四川,阿坝藏族羌族自治州,102.950142,31.307917
3146,叠溪松坪沟风景区,4A景区,0.7,64,64.8,四川·阿坝藏族羌族自治州·茂县,四川,阿坝藏族羌族自治州,104.543098,28.389702
3147,海之玉海洋温泉,,0.0,0,0.0,海南·三亚,海南,三亚,109.511909,18.252847
3148,亚龙湾中心广场,,0.0,65,398.0,海南·三亚·亚龙湾,海南,三亚,109.511909,18.252847
3149,童话森林乐园,,0.0,82,72.0,四川·成都,四川,成都,106.502098,29.393950
3150,黄龙风景区,5A景区,0.74,16,165.0,四川·阿坝藏族羌族自治州·松潘县,四川,阿坝藏族羌族自治州,109.995069,35.927047
3151,鼓城山·七里峡,4A景区,0.0,8,29.0,四川·广元·旺苍县,四川,广元,115.002876,38.035583
3152,日月湾,,0.0,10,398.0,海南·万宁,海南,万宁,109.518356,18.252615
3153,三亚海棠湾9号温泉度假酒店特色理疗温泉,,0.0,33,98.0,海南·三亚·海棠湾,海南,三亚,109.720105,18.289683
3154,成都海昌极地海洋公园,4A景区,0.0,1496,98.0,四川·成都·双流县,四川,成都,104.073406,30.494230
3155,自然峡谷风景区,,0.0,138,90.0,四川·雅安·碧峰峡,四川,雅安,99.141876,33.021938
3156,亚龙湾迎宾馆,,0.0,92,149.0,海南·三亚·亚龙湾,海南,三亚,109.511909,18.252847
3157,京润珍珠博物馆,,0.0,0,0.0,海南·三亚,海南,三亚,109.511909,18.252847
3158,金色阳光温泉度假酒店,,0.0,46,34.0,海南·海口·秀英区,海南,海口,120.532257,31.286100
3159,三亚豪华游艇出海观光垂钓,,0.0,51,196.0,海南·三亚,海南,三亚,109.505568,18.230043
3160,七曲山大庙,4A景区,0.8800000000000001,112,32.0,四川·绵阳·梓潼县,四川,绵阳,104.679114,31.467450
3161,成都松鼠部落森林假日公园,,0.0,292,59.9,四川·成都,四川,成都,104.149226,30.405636
3162,呆呆岛七彩沙滩,,0.0,59,398.0,海南·陵水,海南,陵水,110.037503,18.506048
3163,六罗峡谷雨林运动旅游区,,0.0,96,138.0,海南·三亚,海南,三亚,107.976952,23.626293
3164,成都欢乐谷,4A景区,0.74,1462,55.0,四川·成都·金牛区,四川,成都,104.033593,30.721002
3165,二郎山喇叭河旅游景区,4A景区,0.72,60,0.1,四川·雅安·天全县,四川,雅安,122.725098,42.525635
3166,博鳌亚洲湾水上乐园,,0.0,54,100.0,海南·琼海,海南,琼海,110.566147,19.155922
3167,三亚游艇出海,,0.0,16,167.0,海南·三亚,海南,三亚,109.511909,18.252847
3168,永乐号郑和宝船夜游三亚湾,,0.0,69,203.0,海南·三亚,海南,三亚,109.512054,18.224388
3169,海南木瓜,,0.0,0,0.0,海南·海南,海南,海南,110.349228,20.017377
3170,兴隆依云天然温泉,,0.0,31,55.0,海南·万宁,海南,万宁,117.500558,40.417358
3171,红树林探险王国童玩中心,,0.0,10,85.0,海南·三亚·三亚湾,海南,三亚,114.582626,22.488941
3172,海南永庆寺文化旅游区,,0.0,8,40.0,海南·澄迈,海南,澄迈,110.334175,19.997261
3173,三星堆,4A景区,1.0,54,72.0,四川·德阳·广汉市,四川,德阳,104.397894,31.126855
3174,郪江古镇,,0.0,4,20.0,四川·绵阳·三台县,四川,绵阳,104.679114,31.467450
3175,鹤川温泉酒店,,0.0,81,128.0,海南·保亭,海南,保亭,109.702590,18.639130
